URN,label,PlateID,Latitude,Longitude,SymbolorNumber,Size,Azimuth,Start,End,Border color,Fill color,alpha
103,508,508,32.5,34,label,1,0,1100,-250,black,none,1
104,510,510,41.5,32,label,1,0,1100,-250,black,none,1
105,511,511,44.5,36,label,1,0,1100,-250,black,none,1
106,512,512,38.5,48,label,1,0,195,-250,black,none,1
107,513,513,40.5,51,label,1,0,1100,-250,black,none,1
108,514,514,43.5,55,label,1,0,1100,-250,black,none,1
109,515,515,27.5,61,label,1,0,1100,-250,black,none,1
110,530,530,28.5,38,label,1,0,600,-250,black,none,1
111,531,531,25.5,50,label,1,0,600,-250,black,none,1
112,550,550,41.5,41,label,1,0,1100,-250,black,none,1
113,601,601,40.5,82,label,1,0,1100,-250,black,none,1
114,602,602,38.5,93,label,1,0,1100,-250,black,none,1
115,603,603,28.5,127,label,1,0,1100,-250,black,none,1
116,604,604,40.5,113,label,1,0,306,-250,black,none,1
117,605,605,25.5,121,label,1,0,1100,-250,black,none,1
118,606,606,42.5,95,label,1,0,1100,-250,black,none,1
119,607,607,18.5,114,label,1,0,1100,-250,black,none,1
120,609,609,46.5,141,label,1,0,1100,-250,black,none,1
121,610,610,37.5,137,label,1,0,1100,-250,black,none,1
122,611,611,37.5,137,label,1,0,306,-250,black,none,1
123,612,612,35.5,88,label,1,0,195,-250,black,none,1
124,613,613,31.5,89,label,1,0,1100,-250,black,none,1
125,614,614,34.5,100,label,1,0,1100,-250,black,none,1
126,615,615,15.5,105,label,1,0,1100,-250,black,none,1
127,616,616,10.5,102,label,1,0,216,-250,black,none,1
128,618,618,11.5,95,label,1,0,1100,-250,black,none,1
129,619,619,1.5,104,label,1,0,1100,-250,black,none,1
130,620,620,0.5,112,label,1,0,1100,-250,black,none,1
131,621,621,10.5,112,label,1,0,1100,-250,black,none,1
132,622,622,10.5,120,label,1,0,1100,-250,black,none,1
133,623,623,5.5,122,label,1,0,1100,-250,black,none,1
134,624,624,23.5,93,label,1,0,1100,-250,black,none,1
135,626,626,12.5,93,label,1,0,1100,-250,black,none,1
136,628,628,49.5,123,label,1,0,195,-250,black,none,1
137,632,632,45.5,148,label,1,0,1100,-250,black,none,1
138,637,637,40.5,134,label,1,0,1100,-250,black,none,1
139,650,650,31.5,139,label,1,0,1100,-250,black,none,1
140,651,651,29.5,142,label,1,0,1100,-250,black,none,1
141,652,652,18.5,146,label,1,0,1100,-250,black,none,1
142,653,653,18.5,142,label,1,0,1100,-250,black,none,1
143,654,654,19.5,137,label,1,0,1100,-250,black,none,1
144,655,655,22.5,130,label,1,0,1100,-250,black,none,1
145,656,656,12.5,130,label,1,0,1100,-250,black,none,1
146,659,659,13.5,123,label,1,0,1100,-250,black,none,1
147,664,664,2.5,122,label,1,0,1100,-250,black,none,1
148,670,670,6.5,142,label,1,0,1100,-250,black,none,1
149,672,672,1.5,127,label,1,0,1100,-250,black,none,1
