URN,label,PlateID,lat,long,symbol,size,azimuth,start,end,line_color,fill,alpha
71,Capetown,701,-33.99981,18.99992,circle,2,0,600,-999,byPlateId,byPlateId,1
72,Australia,801,-23.99982,133.9998,circle,2,0,999,-999,byPlateId,byPlateId,1
73,Sydney,801,-33.99981,150.9998,circle,2,0,999,-999,byPlateId,byPlateId,1
74,Perth,801,-31.99982,115.9998,circle,2,0,999,-999,byPlateId,byPlateId,1
75,Zealandia,807,-42.99981,171.9998,circle,2,0,270,-999,byPlateId,byPlateId,1
76,East Antarctica,802,-77.99978,50.99931,circle,2,0,999,-999,byPlateId,byPlateId,1
77,Dry Valley,802,-77.99978,158.9992,circle,2,0,999,-999,byPlateId,byPlateId,1
78,West Antarctic Pennisula,803,-71.99978,-64.00035,circle,2,0,245,-999,byPlateId,byPlateId,1
79,Marie Brydland,804,-75.99978,-122.0004,circle,2,0,270,-999,byPlateId,byPlateId,1
80,Hawaii,901,19.50014,-155.4998,circle,2,0,0,-999,byPlateId,byPlateId,1
