URN,Description,PlateID,PoleLatitude,PoleLongitude,symbol,pseudoQ,azi,OldAge,YoungAge,border,fill,psuedoQ
24,25 465 32.6 317 Rodionov etal(2003)Krivolutsky Suite,401,32.6,317,circle,3.4117,0,475,455,black,byPlateId,0.798422392
24,25 465 32.6 317 Rodionov etal(2003)Krivolutsky Suite,401,-32.6,137,circle,3.4117,0,475,455,black,byPlateId,0.798422392
25,6 468 35.2 333.2 Pavlovetal(2012) Angara River sediments,401,35.2,333.2,circle,3.4117,0,478,458,black,byPlateId,0.798422392
25,6 468 35.2 333.2 Pavlovetal(2012) Angara River sediments,401,-35.2,153.2,circle,3.4117,0,478,458,black,byPlateId,0.798422392
26,26 468 32 319 Cocks&Torsvik(2007) Lena River sediments,401,32,319,circle,3.4117,0,478,458,black,byPlateId,0.798422392
26,26 468 32 319 Cocks&Torsvik(2007) Lena River sediments,401,-32,139,circle,3.4117,0,478,458,black,byPlateId,0.798422392
27,7 469 30 337 Cocks&Torsvik(2007) Moyero River sediments,401,30,337,circle,3.4117,0,479,459,black,byPlateId,0.798422392
27,7 469 30 337 Cocks&Torsvik(2007) Moyero River sediments,401,-30,157,circle,3.4117,0,479,459,black,byPlateId,0.798422392
28,8 470 30.9 332.7 Cocks&Torsvik(2007) Guragir fm,401,30.9,332.7,circle,3.4117,0,480,460,black,byPlateId,0.798422392
28,8 470 30.9 332.7 Cocks&Torsvik(2007) Guragir fm,401,-30.9,152.7,circle,3.4117,0,480,460,black,byPlateId,0.798422392
29,27 470 25 317 Cocks&Torsvik(2007) Lena River red beds,401,25,317,circle,3.4117,0,480,460,black,byPlateId,0.798422392
29,27 470 25 317 Cocks&Torsvik(2007) Lena River red beds,401,-25,137,circle,3.4117,0,480,460,black,byPlateId,0.798422392
30,33 470 31.8 326.5 Hunagetal(1999)a Tianjinshan Miboshan fm,604,31.8,326.5,circle,3.4117,0,480,460,black,byPlateId,0.798422392
30,33 470 31.8 326.5 Hunagetal(1999)a Tianjinshan Miboshan fm,604,-31.8,146.5,circle,3.4117,0,480,460,black,byPlateId,0.798422392
31,43 470 -38.4 154.9 Hanningetal(1998) Xingshan Zigui section Hubei Province,611,-38.4,154.9,circle,3.4117,0,480,460,black,byPlateId,0.798422392
31,43 470 -38.4 154.9 Hanningetal(1998) Xingshan Zigui section Hubei Province,611,38.4,-25.1,circle,3.4117,0,480,460,black,byPlateId,0.798422392
32,9 475 36.4 338.2 Pavlovetal(2012) Angara River sediments,401,36.4,338.2,circle,3.4117,0,485,465,black,byPlateId,0.798422392
32,9 475 36.4 338.2 Pavlovetal(2012) Angara River sediments,401,-36.4,158.2,circle,3.4117,0,485,465,black,byPlateId,0.798422392
33,10 478 33.9 331.7 Cocks&Torsvik(2007) Moyero River sediments,401,33.9,331.7,circle,3.4117,0,488,468,black,byPlateId,0.798422392
33,10 478 33.9 331.7 Cocks&Torsvik(2007) Moyero River sediments,401,-33.9,151.7,circle,3.4117,0,488,468,black,byPlateId,0.798422392
