URN,label,PlateID,Latitude,Longitude,SymbolorNumber,Size,Azimuth,Start,End,Border color,Fill color,alpha
85,Yermak Plateau,350,83,5,label,1,0,1100,-250,black,none,1
86,Siberia,401,63.5,107,label,1,0,280,-250,black,none,1
87,Kazakhstania,402,49.5,71,label,1,0,306,-250,black,none,1
88,Omolon,403,66.5,161,label,1,0,70,-250,black,none,1
89,Kolyma,405,71.5,147,label,1,0,1100,-250,black,none,1
90,Kamchatka,406,61.5,-170,label,1,0,1100,-250,black,none,1
91,Dzungar Basin,407,44.5,89,label,1,0,1100,-250,black,none,1
92,Voronin Trough,409,81.5,72,label,1,0,1100,-250,black,none,1
93,Sea of Okhotsk,410,53.5,148,label,1,0,1100,-250,black,none,1
94,Aleutian Islands,416,53,-180,label,1,0,1100,-250,black,none,1
95,Bering Sea,420,58.5,174,label,1,0,1100,-250,black,none,1
96,India,501,24.5,78,label,1,0,0,-250,black,none,1
97,Sri Lanka,502,9.5,80,label,1,0,1100,-250,black,none,1
98,Arabia,503,27.5,45,label,1,0,600,-250,black,none,1
99,Turkey,504,39.5,33,label,1,0,33.5,-250,black,none,1
100,Lut block,505,34.5,56,label,1,0,65,-250,black,none,1
101,Sistan block,506,36.5,64,label,1,0,1100,-250,black,none,1
102,Farah block,507,32.5,64,label,1,0,1100,-250,black,none,1
103,Sinai block,508,32.5,34,label,1,0,1100,-250,black,none,1
104,Pontide block,510,41.5,32,label,1,0,1100,-250,black,none,1
105,Black Sea,511,44.5,36,label,1,0,1100,-250,black,none,1
106,Sanandaj-Sirjan block,512,38.5,48,label,1,0,195,-250,black,none,1
107,South Caspian block,513,40.5,51,label,1,0,1100,-250,black,none,1
108,North Caspian block,514,43.5,55,label,1,0,1100,-250,black,none,1
109,Makran,515,27.5,61,label,1,0,1100,-250,black,none,1
110,western Arabia,530,28.5,38,label,1,0,600,-250,black,none,1
111,eastern Arabia,531,25.5,50,label,1,0,600,-250,black,none,1
112,Erzurum block,550,41.5,41,label,1,0,1100,-250,black,none,1
113,Tarim block,601,40.5,82,label,1,0,1100,-250,black,none,1
114,Qaidam block,602,38.5,93,label,1,0,1100,-250,black,none,1
115,Okinawa Trough,603,28.5,127,label,1,0,1100,-250,black,none,1
116,North China,604,40.5,113,label,1,0,306,-250,black,none,1
117,Taiwan,605,25.5,121,label,1,0,1100,-250,black,none,1
118,Bai Shan block,606,42.5,95,label,1,0,1100,-250,black,none,1
119,S. China Sea,607,18.5,114,label,1,0,1100,-250,black,none,1
120,Japan,609,46.5,141,label,1,0,1100,-250,black,none,1
121,Hokkaido-Sakhalin,610,37.5,137,label,1,0,1100,-250,black,none,1
122,South China,611,37.5,137,label,1,0,306,-250,black,none,1
123,Qiang Tang block,612,35.5,88,label,1,0,195,-250,black,none,1
124,Lhasa block,613,31.5,89,label,1,0,1100,-250,black,none,1
125,Song Pan Ganzi,614,34.5,100,label,1,0,1100,-250,black,none,1
126,Indochina block,615,15.5,105,label,1,0,1100,-250,black,none,1
127,Sibumasu,616,10.5,102,label,1,0,216,-250,black,none,1
128,E. Andaman Sea,618,11.5,95,label,1,0,1100,-250,black,none,1
129,Gulf of Thailand,619,1.5,104,label,1,0,1100,-250,black,none,1
130,Borneo,620,0.5,112,label,1,0,1100,-250,black,none,1
131,Reed Bank,621,10.5,112,label,1,0,1100,-250,black,none,1
132,Palawan & Sulu Sea,622,10.5,120,label,1,0,1100,-250,black,none,1
133,Celebes Sea,623,5.5,122,label,1,0,1100,-250,black,none,1
134,C. Burma Accretion,624,23.5,93,label,1,0,1100,-250,black,none,1
135,Trenches of Sumatra  Java & Banda Arc,626,12.5,93,label,1,0,1100,-250,black,none,1
136,Amuria,628,49.5,123,label,1,0,195,-250,black,none,1
137,Kurile Trench,632,45.5,148,label,1,0,1100,-250,black,none,1
138,Sea of Japan,637,40.5,134,label,1,0,1100,-250,black,none,1
139,NE Parece Vela basin,650,31.5,139,label,1,0,1100,-250,black,none,1
140,N Marianas basin,651,29.5,142,label,1,0,1100,-250,black,none,1
141,S Marianas basin,652,18.5,146,label,1,0,1100,-250,black,none,1
