URN,label,PlateID,lat,long,symbol,size,azimuth,start,end,line_color,fill,alpha
1,Dalgaranga,801,-27.716667,117.25,circle,2,0,0.027,-999,none,red,1
2,Havliland,101,37.5833333,-99.166667,circle,2,0,0.001,-999,none,red,1
3,Sikhote Alin,628,46.1166667,134.666667,circle,2,0,0,-999,none,red,1
4,Campo del Cielo,202,-27.633333,-61.7,circle,2,0,0.004,-999,none,red,1
5,Sobolev,637,46.3,138.866667,circle,2,0,0.001,-999,none,red,1
6,Ilumetsa,301,57.9666667,25.4166667,circle,2,0,0.002,-999,none,red,1
7,Veevers,801,-22.966667,125.366667,circle,2,0,1,-999,none,red,1
8,Morasko,315,52.4833333,16.9,circle,2,0,0.01,-999,none,red,1
9,Wabar,503,21.5,50.4666667,circle,2,0,0.006,-999,none,red,1
10,Kaalijarvi,301,58.4,22.6666667,circle,2,0,0.004,-999,none,red,1
11,Henbury,801,-24.583333,133.15,circle,2,0,0.005,-999,none,red,1
12,Boxhole,801,-22.616667,135.2,circle,2,0,0.03,-999,none,red,1
13,Odessa,101,31.75,-102.48333,circle,2,0,0.05,-999,none,red,1
14,Macha,401,59.9833333,118,circle,2,0,0.007,-999,none,red,1
15,Aouelloul,714,20.25,-12.683333,circle,2,0,3.1,-999,none,red,1
16,Amguid,715,26.0833333,19.25,circle,2,0,0.1,-999,none,red,1
17,Monturaqui,202,-23.933333,-68.283333,circle,2,0,1,-999,none,red,1
18,Kalkkop,701,-32.716667,24.5666667,circle,2,0,1.8,-999,none,red,1
19,Wolfe Creek,801,-19.3,127.766667,circle,2,0,0.3,-999,none,red,1
20,Pretoria Saltpan,701,-25.4,28.0833333,circle,2,0,0.22,-999,none,red,1
21,Barringer,133,35.0333333,-111.01667,circle,2,0,0.049,-999,none,red,1
22,Tabun-Khara-Obo,628,44.1,109.6,circle,2,0,1.8,-999,none,red,1
23,Liverpool,801,-12.4,134.05,circle,2,0,150,-999,none,red,1
