URN,label,PlateID,Latitude,Longitude,SymbolorNumber,Size,Azimuth,Start,End,Border color,Fill color
66,310,310,79.5,34,label,1,0,235,-250,black,none
67,313,313,57.5,-2,label,1,0,1100,-250,black,none
68,315,315,54.5,1,label,1,0,458,-250,black,none
69,317,317,56.5,-17,label,1,0,255,-250,black,none
70,318,318,59.5,-19,label,1,0,1100,-250,black,none
71,319,319,45.5,25,label,1,0,1100,-250,black,none
72,320,320,40.5,2,label,1,0,1100,-250,black,none
73,321,321,39.5,3,label,1,0,1100,-250,black,none
74,322,322,46.5,-3.5,label,1,0,1100,-250,black,none
75,323,323,36.5,14,label,1,0,1100,-250,black,none
76,324,324,63.5,-7,label,1,0,1100,-250,black,none
77,325,325,60.5,-12,label,1,0,1100,-250,black,none
78,326,326,59.5,-10,label,1,0,1100,-250,black,none
79,327,327,65.5,3,label,1,0,1100,-250,black,none
80,328,328,45.5,-3,label,1,0,1100,-250,black,none
81,329,329,40.5,25,label,1,0,1100,-250,black,none
82,330,330,36.5,25,label,1,0,1100,-250,black,none
83,331,331,37.5,31,label,1,0,1100,-250,black,none
84,332,332,53.5,-14,label,1,0,1100,-250,black,none
85,350,350,83,5,label,1,0,1100,-250,black,none
86,401,401,63.5,107,label,1,0,280,-250,black,none
87,402,402,49.5,71,label,1,0,306,-250,black,none
88,403,403,66.5,161,label,1,0,70,-250,black,none
89,405,405,71.5,147,label,1,0,1100,-250,black,none
90,406,406,61.5,-170,label,1,0,1100,-250,black,none
91,407,407,44.5,89,label,1,0,1100,-250,black,none
92,409,409,81.5,72,label,1,0,1100,-250,black,none
93,410,410,53.5,148,label,1,0,1100,-250,black,none
94,416,416,53,-180,label,1,0,1100,-250,black,none
95,420,420,58.5,174,label,1,0,1100,-250,black,none
96,501,501,24.5,78,label,1,0,0,-250,black,none
97,502,502,9.5,80,label,1,0,1100,-250,black,none
98,503,503,27.5,45,label,1,0,600,-250,black,none
99,504,504,39.5,33,label,1,0,33.5,-250,black,none
100,505,505,34.5,56,label,1,0,65,-250,black,none
101,506,506,36.5,64,label,1,0,1100,-250,black,none
102,507,507,32.5,64,label,1,0,1100,-250,black,none
103,508,508,32.5,34,label,1,0,1100,-250,black,none
104,510,510,41.5,32,label,1,0,1100,-250,black,none
105,511,511,44.5,36,label,1,0,1100,-250,black,none
106,512,512,38.5,48,label,1,0,195,-250,black,none
107,513,513,40.5,51,label,1,0,1100,-250,black,none
108,514,514,43.5,55,label,1,0,1100,-250,black,none
109,515,515,27.5,61,label,1,0,1100,-250,black,none
110,530,530,28.5,38,label,1,0,600,-250,black,none
111,531,531,25.5,50,label,1,0,600,-250,black,none
112,550,550,41.5,41,label,1,0,1100,-250,black,none
113,601,601,40.5,82,label,1,0,1100,-250,black,none
114,602,602,38.5,93,label,1,0,1100,-250,black,none
115,603,603,28.5,127,label,1,0,1100,-250,black,none
116,604,604,40.5,113,label,1,0,306,-250,black,none
117,605,605,25.5,121,label,1,0,1100,-250,black,none
118,606,606,42.5,95,label,1,0,1100,-250,black,none
119,607,607,18.5,114,label,1,0,1100,-250,black,none
120,609,609,46.5,141,label,1,0,1100,-250,black,none
121,610,610,37.5,137,label,1,0,1100,-250,black,none
122,611,611,37.5,137,label,1,0,306,-250,black,none
123,612,612,35.5,88,label,1,0,195,-250,black,none
124,613,613,31.5,89,label,1,0,1100,-250,black,none
125,614,614,34.5,100,label,1,0,1100,-250,black,none
126,615,615,15.5,105,label,1,0,1100,-250,black,none
127,616,616,10.5,102,label,1,0,216,-250,black,none
128,618,618,11.5,95,label,1,0,1100,-250,black,none
129,619,619,1.5,104,label,1,0,1100,-250,black,none
130,620,620,0.5,112,label,1,0,1100,-250,black,none
131,621,621,10.5,112,label,1,0,1100,-250,black,none
132,622,622,10.5,120,label,1,0,1100,-250,black,none
133,623,623,5.5,122,label,1,0,1100,-250,black,none
134,624,624,23.5,93,label,1,0,1100,-250,black,none
135,626,626,12.5,93,label,1,0,1100,-250,black,none
136,628,628,49.5,123,label,1,0,195,-250,black,none
137,632,632,45.5,148,label,1,0,1100,-250,black,none
138,637,637,40.5,134,label,1,0,1100,-250,black,none
139,650,650,31.5,139,label,1,0,1100,-250,black,none
140,651,651,29.5,142,label,1,0,1100,-250,black,none
141,652,652,18.5,146,label,1,0,1100,-250,black,none
142,653,653,18.5,142,label,1,0,1100,-250,black,none
143,654,654,19.5,137,label,1,0,1100,-250,black,none
144,655,655,22.5,130,label,1,0,1100,-250,black,none
145,656,656,12.5,130,label,1,0,1100,-250,black,none
146,659,659,13.5,123,label,1,0,1100,-250,black,none
147,664,664,2.5,122,label,1,0,1100,-250,black,none
148,670,670,6.5,142,label,1,0,1100,-250,black,none
149,672,672,1.5,127,label,1,0,1100,-250,black,none
150,673,673,3.5,139,label,1,0,1100,-250,black,none
151,675,675,-7.5,159,label,1,0,1100,-250,black,none
152,676,676,-3.5,149,label,1,0,1100,-250,black,none
153,679,679,-4.5,121,label,1,0,1100,-250,black,none
154,682,682,-1.5,129,label,1,0,1100,-250,black,none
155,684,684,-0.5,123,label,1,0,1100,-250,black,none
156,701,701,-6.5,20,label,1,0,1100,-250,black,none
157,702,702,-16.5,46,label,1,0,600,-250,black,none
158,704,704,-2.5,55.5,label,1,0,1100,-250,black,none
159,705,705,-9.5,61.5,label,1,0,1100,-250,black,none
160,707,707,35.5,-1,label,1,0,1100,-250,black,none
161,709,709,3.5,40,label,1,0,1100,-250,black,none
162,712,712,0.5,32,label,1,0,1100,-250,black,none
163,714,714,20.5,-4,label,1,0,1100,-250,black,none
164,715,715,23.5,21,label,1,0,1100,-250,black,none
165,716,716,12.5,35,label,1,0,1100,-250,black,none
166,776,776,37,-2,label,1,0,1100,-250,black,none
167,777,777,27.5,5,label,1,0,1100,-250,black,none
168,778,778,18.5,-9,label,1,0,600,-250,black,none
169,779,779,9.5,22,label,1,0,1100,-250,black,none
170,780,780,13.5,39,label,1,0,600,-250,black,none
171,781,781,-14.5,34,label,1,0,600,-250,black,none
172,782,782,-2.5,11,label,1,0,1100,-250,black,none
173,783,783,-19.5,15,label,1,0,1100,-250,black,none
174,784,784,-31,17.5,label,1,0,1100,-250,black,none
175,800,800,-0.5,132,label,1,0,1100,-250,black,none
176,801,801,-21.5,135,label,1,0,0,-250,black,none
177,802,802,-80.5,84,label,1,0,83,-250,black,none
178,803,803,-68.5,-65,label,1,0,1100,-250,black,none
179,804,804,-75.5,-119,label,1,0,0,-250,black,none
180,805,805,-78.5,-90,label,1,0,1100,-250,black,none
181,806,806,-37.5,174,label,1,0,1100,-250,black,none
182,807,807,-45.5,168,label,1,0,1100,-250,black,none
183,808,808,-9.5,147,label,1,0,1100,-250,black,none
184,809,809,-8.5,156,label,1,0,1100,-250,black,none
185,810,810,-11.5,153,label,1,0,1100,-250,black,none
186,811,811,-60.5,-59,label,1,0,1100,-250,black,none
187,812,812,-59.5,-44,label,1,0,1100,-250,black,none
188,813,813,-41.5,178,label,1,0,1100,-250,black,none
189,814,814,-48.5,172,label,1,0,1100,-250,black,none
190,815,815,-25.5,175,label,1,0,1100,-250,black,none
191,816,816,-70.5,-178,label,1,0,1100,-250,black,none
192,817,817,-8.5,153,label,1,0,1100,-250,black,none
193,818,818,-5.5,152,label,1,0,1100,-250,black,none
194,819,819,-10.5,170,label,1,0,1100,-250,black,none
195,820,820,-15.5,96,label,1,0,1100,-250,black,none
196,821,821,-30.5,158,label,1,0,1100,-250,black,none
197,822,822,-13.5,153,label,1,0,1100,-250,black,none
