URN,Label,PlateID,rlat,rlon,Symbol,Size,Azimuth,Time,Time,Border Color,Fill Color,alpha
28902,Gypsum,0,15.68,4.77,triangle,1,0,100,100,black,yellow,1
28903,Gypsum,0,17.75,-3.22,triangle,1,0,100,100,black,yellow,1
28907,Gypsum,0,-16.1,34.89,triangle,1,0,100,100,black,yellow,1
28908,Gypsum,0,-16.9,34.86,triangle,1,0,100,100,black,yellow,1
28909,Gypsum,0,-17.93,35.55,triangle,1,0,100,100,black,yellow,1
28910,Gypsum,0,-18.92,35.41,triangle,1,0,100,100,black,yellow,1
28936,Gypsum,0,17.78,-47.23,triangle,1,0,100,100,black,yellow,1
28937,Gypsum,0,18.8,-48.17,triangle,1,0,100,100,black,yellow,1
28939,Gypsum,0,19.09,-47.12,triangle,1,0,100,100,black,yellow,1
28940,Gypsum,0,18.94,-48.83,triangle,1,0,100,100,black,yellow,1
28958,Gypsum,0,-17.71,35.14,triangle,1,0,100,100,black,yellow,1
28981,Gypsum,0,10.08,36.37,triangle,1,0,100,100,black,yellow,1
29334,Gypsum,0,13.39,10.74,triangle,1,0,100,100,black,yellow,1
29335,Gypsum,0,12.72,7.61,triangle,1,0,100,100,black,yellow,1
29336,Gypsum,0,13.04,9,triangle,1,0,100,100,black,yellow,1
29337,Gypsum,0,12.83,8.29,triangle,1,0,100,100,black,yellow,1
29338,Gypsum,0,11.8,8.25,triangle,1,0,100,100,black,yellow,1
29339,Gypsum,0,13.54,11.7,triangle,1,0,100,100,black,yellow,1
29341,Gypsum,0,12.73,9.73,triangle,1,0,100,100,black,yellow,1
29342,Gypsum,0,13.43,9.48,triangle,1,0,100,100,black,yellow,1
29344,Gypsum,0,12.13,10.01,triangle,1,0,100,100,black,yellow,1
29345,Gypsum,0,13.09,9.56,triangle,1,0,100,100,black,yellow,1
29625,Gypsum,0,36.98,66.56,triangle,1,0,100,100,black,yellow,1
29687,Gypsum,0,35.68,65.29,triangle,1,0,100,100,black,yellow,1
29737,Gypsum,0,37.64,67.75,triangle,1,0,100,100,black,yellow,1
29855,Gypsum,0,12.93,-56.9,triangle,1,0,100,100,black,yellow,1
29856,Gypsum,0,13.29,-58.03,triangle,1,0,100,100,black,yellow,1
29857,Gypsum,0,12.48,-57.62,triangle,1,0,100,100,black,yellow,1
29911,Gypsum,0,11.96,34.88,triangle,1,0,100,100,black,yellow,1
29924,Gypsum,0,18.87,-7.1,triangle,1,0,100,100,black,yellow,1
29925,Gypsum,0,18.59,-7.51,triangle,1,0,100,100,black,yellow,1
30038,Gypsum,0,17.67,8.54,triangle,1,0,100,100,black,yellow,1
30090,Gypsum,0,19.24,3.55,triangle,1,0,100,100,black,yellow,1
30091,Gypsum,0,19.15,2.87,triangle,1,0,100,100,black,yellow,1
30093,Gypsum,0,19.66,3.24,triangle,1,0,100,100,black,yellow,1
30154,Gypsum,0,7.15,26.99,triangle,1,0,100,100,black,yellow,1
30255,Gypsum,0,36.75,69.44,triangle,1,0,100,100,black,yellow,1
30256,Gypsum,0,36.61,68.79,triangle,1,0,100,100,black,yellow,1
30260,Gypsum,0,35.68,70.28,triangle,1,0,100,100,black,yellow,1
30277,Gypsum,0,36.81,113.02,triangle,1,0,100,100,black,yellow,1
30278,Gypsum,0,37.16,113.27,triangle,1,0,100,100,black,yellow,1
30312,Gypsum,0,39.35,113.97,triangle,1,0,100,100,black,yellow,1
30313,Gypsum,0,40.13,114.41,triangle,1,0,100,100,black,yellow,1
30314,Gypsum,0,39.53,114.12,triangle,1,0,100,100,black,yellow,1
30315,Gypsum,0,39.96,113.78,triangle,1,0,100,100,black,yellow,1
30489,Gypsum,0,-49.81,41.99,triangle,1,0,100,100,black,yellow,1
30520,Gypsum,0,13.43,-56.38,triangle,1,0,100,100,black,yellow,1
30521,Gypsum,0,15.6,-57.77,triangle,1,0,100,100,black,yellow,1
30558,Gypsum,0,21.12,99.01,triangle,1,0,100,100,black,yellow,1
30559,Gypsum,0,18.45,97.02,triangle,1,0,100,100,black,yellow,1
30561,Gypsum,0,21.04,100.61,triangle,1,0,100,100,black,yellow,1
30594,Gypsum,0,23.59,-66.65,triangle,1,0,100,100,black,yellow,1
30748,Gypsum,0,33.65,64.42,triangle,1,0,100,100,black,yellow,1
30759,Gypsum,0,33.04,62.92,triangle,1,0,100,100,black,yellow,1
30823,Gypsum,0,-19.44,35.71,triangle,1,0,100,100,black,yellow,1
30825,Gypsum,0,-16.27,36.96,triangle,1,0,100,100,black,yellow,1
