URN,Label,PlateID,erlat,erlon,Symbol,Size,Azimuth,Time,Time,Border Color,Fill Color
0,{elevation}ft {formation},0,-58,144.19,square,1,0,100.0,100.0,#4f8356,#4f8356
0,{elevation}ft {formation},0,-57,-47.76,square,1,0,100.0,100.0,#a3e1f7,#a3e1f7
0,{elevation}ft {formation},0,-57,126.73,square,1,0,100.0,100.0,#4f8356,#4f8356
0,{elevation}ft {formation},0,-56,-47.46,square,1,0,100.0,100.0,#a3e1f7,#a3e1f7
0,{elevation}ft {formation},0,-56,-45.67,square,1,0,100.0,100.0,#4f8356,#4f8356
0,{elevation}ft {formation},0,-56,86.87,square,1,0,100.0,100.0,#a3e1f7,#a3e1f7
0,{elevation}ft {formation},0,-55,-48.93,square,1,0,100.0,100.0,#a3e1f7,#a3e1f7
0,{elevation}ft {formation},0,-55,-43.69,square,1,0,100.0,100.0,#4f8356,#4f8356
0,{elevation}ft {formation},0,-55,40.19,square,1,0,100.0,100.0,#89592a,#89592a
0,{elevation}ft {formation},0,-55,82.14,square,1,0,100.0,100.0,#2d9cd0,#2d9cd0
0,{elevation}ft {formation},0,-55,89.13,square,1,0,100.0,100.0,#a3e1f7,#a3e1f7
0,{elevation}ft {formation},0,-54,-45.85,square,1,0,100.0,100.0,#4f8356,#4f8356
0,{elevation}ft {formation},0,-54,-44.15,square,1,0,100.0,100.0,#4f8356,#4f8356
0,{elevation}ft {formation},0,-54,39.06,square,1,0,100.0,100.0,#89592a,#89592a
0,{elevation}ft {formation},0,-54,40.75,square,1,0,100.0,100.0,#89592a,#89592a
0,{elevation}ft {formation},0,-54,42.45,square,1,0,100.0,100.0,#89592a,#89592a
0,{elevation}ft {formation},0,-54,90.0,square,1,0,100.0,100.0,#a3e1f7,#a3e1f7
0,{elevation}ft {formation},0,-54,134.15,square,1,0,100.0,100.0,#4f8356,#4f8356
0,{elevation}ft {formation},0,-53,-48.94,square,1,0,100.0,100.0,#89592a,#89592a
0,{elevation}ft {formation},0,-53,-45.62,square,1,0,100.0,100.0,#4f8356,#4f8356
0,{elevation}ft {formation},0,-53,-42.3,square,1,0,100.0,100.0,#4f8356,#4f8356
0,{elevation}ft {formation},0,-53,-2.49,square,1,0,100.0,100.0,#4f8356,#4f8356
0,{elevation}ft {formation},0,-53,-0.83,square,1,0,100.0,100.0,#a3e1f7,#a3e1f7
0,{elevation}ft {formation},0,-53,0.83,square,1,0,100.0,100.0,#8edcf7,#8edcf7
0,{elevation}ft {formation},0,-53,2.49,square,1,0,100.0,100.0,#8edcf7,#8edcf7
0,{elevation}ft {formation},0,-53,40.65,square,1,0,100.0,100.0,#89592a,#89592a
0,{elevation}ft {formation},0,-53,42.3,square,1,0,100.0,100.0,#89592a,#89592a
0,{elevation}ft {formation},0,-52,-1.62,square,1,0,100.0,100.0,#8edcf7,#8edcf7
0,{elevation}ft {formation},0,-52,0.0,square,1,0,100.0,100.0,#8edcf7,#8edcf7
0,{elevation}ft {formation},0,-51,-8.72,square,1,0,100.0,100.0,#2d9cd0,#2d9cd0
0,{elevation}ft {formation},0,-50,13.25,square,1,0,100.0,100.0,#8edcf7,#8edcf7
0,{elevation}ft {formation},0,-50,41.3,square,1,0,100.0,100.0,#a3e1f7,#a3e1f7
0,{elevation}ft {formation},0,-50,42.86,square,1,0,100.0,100.0,#a3e1f7,#a3e1f7
0,{elevation}ft {formation},0,-50,89.61,square,1,0,100.0,100.0,#8edcf7,#8edcf7
0,{elevation}ft {formation},0,-49,-47.29,square,1,0,100.0,100.0,#bfb5a6,#bfb5a6
0,{elevation}ft {formation},0,-49,-6.1,square,1,0,100.0,100.0,#8edcf7,#8edcf7
0,{elevation}ft {formation},0,-49,-4.58,square,1,0,100.0,100.0,#a3e1f7,#a3e1f7
0,{elevation}ft {formation},0,-49,15.25,square,1,0,100.0,100.0,#a3e1f7,#a3e1f7
0,{elevation}ft {formation},0,-48,-5.23,square,1,0,100.0,100.0,#8edcf7,#8edcf7
0,{elevation}ft {formation},0,-48,5.23,square,1,0,100.0,100.0,#89592a,#89592a
0,{elevation}ft {formation},0,-48,15.68,square,1,0,100.0,100.0,#a3e1f7,#a3e1f7
0,{elevation}ft {formation},0,-48,90.37,square,1,0,100.0,100.0,#8edcf7,#8edcf7
0,{elevation}ft {formation},0,-48,130.71,square,1,0,100.0,100.0,#a8e2f7,#a8e2f7
0,{elevation}ft {formation},0,-47,4.39,square,1,0,100.0,100.0,#89592a,#89592a
0,{elevation}ft {formation},0,-47,92.2,square,1,0,100.0,100.0,#8edcf7,#8edcf7
0,{elevation}ft {formation},0,-46,15.84,square,1,0,100.0,100.0,#a3e1f7,#a3e1f7
0,{elevation}ft {formation},0,-46,33.12,square,1,0,100.0,100.0,#a3e1f7,#a3e1f7
0,{elevation}ft {formation},0,-46,95.04,square,1,0,100.0,100.0,#8edcf7,#8edcf7
0,{elevation}ft {formation},0,-45,-6.35,square,1,0,100.0,100.0,#8edcf7,#8edcf7
0,{elevation}ft {formation},0,-45,31.76,square,1,0,100.0,100.0,#a3e1f7,#a3e1f7
0,{elevation}ft {formation},0,-45,33.18,square,1,0,100.0,100.0,#a3e1f7,#a3e1f7
0,{elevation}ft {formation},0,-45,95.29,square,1,0,100.0,100.0,#8edcf7,#8edcf7
0,{elevation}ft {formation},0,-45,164.47,square,1,0,100.0,100.0,#2d9cd0,#2d9cd0
0,{elevation}ft {formation},0,-44,-4.86,square,1,0,100.0,100.0,#a3e1f7,#a3e1f7
0,{elevation}ft {formation},0,-44,32.66,square,1,0,100.0,100.0,#a3e1f7,#a3e1f7
0,{elevation}ft {formation},0,-44,96.6,square,1,0,100.0,100.0,#8edcf7,#8edcf7
0,{elevation}ft {formation},0,-44,97.99,square,1,0,100.0,100.0,#8edcf7,#8edcf7
0,{elevation}ft {formation},0,-44,99.38,square,1,0,100.0,100.0,#8edcf7,#8edcf7
0,{elevation}ft {formation},0,-43,19.85,square,1,0,100.0,100.0,#8edcf7,#8edcf7
