Total URN,Total Label,Total PlateID,Total Rlat,Total Rlon,Total Symbol,Total size,azimuth,Total Start,end,border color,Total fill color
16526,180,109,78.06,112.34,label,0.7,0,180,12,none,black
16528,180,101,76.17,125.38,circle,2,0,180,13,none,byOceanAge
16528,180,101,76.17,125.38,label,0.7,0,180,14,none,black
16529,180,101,78.09,161.58,circle,2,0,180,15,none,byOceanAge
16529,180,101,78.09,161.58,label,0.7,0,180,16,none,black
16530,180,134,81.83,68.53,circle,2,0,180,17,none,byOceanAge
16530,180,134,81.83,68.53,label,0.7,0,180,18,none,black
16531,180,101,77.41,116.4,circle,2,0,180,19,none,byOceanAge
16531,180,101,77.41,116.4,label,0.7,0,180,20,none,black
16540,180,101,68.27,130.79,circle,2,0,180,21,none,byOceanAge
16540,180,101,68.27,130.79,label,0.7,0,180,22,none,black
16545,180,108,74.76,86.51,circle,2,0,180,23,none,byOceanAge
16545,180,108,74.76,86.51,label,0.7,0,180,24,none,black
16546,180,109,67.15,81.13,circle,2,0,180,25,none,byOceanAge
16546,180,109,67.15,81.13,label,0.7,0,180,26,none,black
16557,190,101,77.89,176.61,circle,2,0,190,27,none,byOceanAge
16557,190,101,77.89,176.61,label,0.7,0,190,28,none,black
16559,190,133,67.73,78.51,circle,2,0,190,29,none,byOceanAge
16559,190,133,67.73,78.51,label,0.7,0,190,30,none,black
16560,190,132,73.4,102.54,circle,2,0,190,31,none,byOceanAge
16560,190,132,73.4,102.54,label,0.7,0,190,32,none,black
16570,200,101,81.95,156.63,circle,2,0,200,33,none,byOceanAge
16570,200,101,81.95,156.63,label,0.7,0,200,34,none,black
16572,200,101,63.94,81.94,circle,2,0,200,35,none,byOceanAge
16572,200,101,63.94,81.94,label,0.7,0,200,36,none,black
16573,200,101,76.54,-146.9,circle,2,0,200,37,none,byOceanAge
16573,200,101,76.54,-146.9,label,0.7,0,200,38,none,black
16575,200,132,79.29,95.49,circle,2,0,200,39,none,byOceanAge
16575,200,132,79.29,95.49,label,0.7,0,200,40,none,black
16576,200,101,77.48,123.83,circle,2,0,200,41,none,byOceanAge
16576,200,101,77.48,123.83,label,0.7,0,200,42,none,black
16579,200,101,80.04,149.29,circle,2,0,200,43,none,byOceanAge
16579,200,101,80.04,149.29,label,0.7,0,200,44,none,black
16587,200,131,82.15,2.94,circle,2,0,200,45,none,byOceanAge
16587,200,131,82.15,2.94,label,0.7,0,200,46,none,black
16585,210,101,75.2,178.98,circle,2,0,210,47,none,byOceanAge
16585,210,101,75.2,178.98,label,0.7,0,210,48,none,black
16586,210,101,71.65,147.58,circle,2,0,210,49,none,byOceanAge
16586,210,101,71.65,147.58,label,0.7,0,210,50,none,black
16596,210,101,70.57,153.6,circle,2,0,210,51,none,byOceanAge
16596,210,101,70.57,153.6,label,0.7,0,210,52,none,black
16600,210,108,67.22,162.22,circle,2,0,210,53,none,byOceanAge
16600,210,108,67.22,162.22,label,0.7,0,210,54,none,black
16602,220,133,85.79,95.95,circle,2,0,220,55,none,byOceanAge
16602,220,133,85.79,95.95,label,0.7,0,220,56,none,black
16609,220,101,74.07,162.88,circle,2,0,220,57,none,byOceanAge
16609,220,101,74.07,162.88,label,0.7,0,220,58,none,black
16635,220,102,62.9,139.53,circle,2,0,220,59,none,byOceanAge
16635,220,102,62.9,139.53,label,0.7,0,220,60,none,black
16641,220,133,82.31,149.44,circle,2,0,220,61,none,byOceanAge
16641,220,133,82.31,149.44,label,0.7,0,220,62,none,black
16647,230,133,83.32,160.4,circle,2,0,230,63,none,byOceanAge
16647,230,133,83.32,160.4,label,0.7,0,230,64,none,black
16652,230,101,88.31,55.77,circle,2,0,230,65,none,byOceanAge
16652,230,101,88.31,55.77,label,0.7,0,230,66,none,black
16653,230,133,81.32,160.35,circle,2,0,230,67,none,byOceanAge
16653,230,133,81.32,160.35,label,0.7,0,230,68,none,black
16682,230,133,87.23,12.31,circle,2,0,230,69,none,byOceanAge
16682,230,133,87.23,12.31,label,0.7,0,230,70,none,black
16667,240,133,86.77,-161.29,circle,2,0,240,71,none,byOceanAge
16667,240,133,86.77,-161.29,label,0.7,0,240,72,none,black
16668,240,133,84.66,-164.36,circle,2,0,240,73,none,byOceanAge
16668,240,133,84.66,-164.36,label,0.7,0,240,74,none,black
16683,240,133,79.18,33.15,circle,2,0,240,75,none,byOceanAge
16683,240,133,79.18,33.15,label,0.7,0,240,76,none,black
16684,240,133,82.61,32.2,circle,2,0,240,77,none,byOceanAge
16684,240,133,82.61,32.2,label,0.7,0,240,78,none,black
16685,240,133,80.04,29.42,circle,2,0,240,79,none,byOceanAge
16685,240,133,80.04,29.42,label,0.7,0,240,80,none,black
16686,240,133,79.72,23.21,circle,2,0,240,81,none,byOceanAge
16686,240,133,79.72,23.21,label,0.7,0,240,82,none,black
