URN,Label,PlateID,RLat,RLon,symbol,size,azimuth,start,end,border color,fill color,alpha
16801,270,101,75.08,-168.83,circle,2,0,270,0,none,byOceanAge,1
16802,270,133,86.04,99.58,circle,2,0,270,0,none,byOceanAge,1
16808,270,101,83.69,101.12,circle,2,0,270,0,none,byOceanAge,1
16809,270,101,85.65,79.36,circle,2,0,270,0,none,byOceanAge,1
16859,280,106,76.01,-53.06,circle,2,0,280,0,none,byOceanAge,1
16860,280,133,80.54,42.5,circle,2,0,280,0,none,byOceanAge,1
16861,280,133,83.59,129.92,circle,2,0,280,0,none,byOceanAge,1
16862,280,101,87.76,132.97,circle,2,0,280,0,none,byOceanAge,1
16863,280,133,82.46,122.62,circle,2,0,280,0,none,byOceanAge,1
16864,280,133,83.82,145.91,circle,2,0,280,0,none,byOceanAge,1
16865,280,133,81.25,117.08,circle,2,0,280,0,none,byOceanAge,1
16866,280,101,86.2,84.46,circle,2,0,280,0,none,byOceanAge,1
16867,280,101,81.96,125.39,circle,2,0,280,0,none,byOceanAge,1
16868,280,101,84.14,41.75,circle,2,0,280,0,none,byOceanAge,1
16869,280,101,86.24,21.15,circle,2,0,280,0,none,byOceanAge,1
16870,280,101,84.93,62.33,circle,2,0,280,0,none,byOceanAge,1
16871,280,101,82.07,147.07,circle,2,0,280,0,none,byOceanAge,1
16877,280,108,84.52,-162.97,circle,2,0,280,0,none,byOceanAge,1
16899,290,101,85.19,-100.62,circle,2,0,290,0,none,byOceanAge,1
16903,290,101,84.29,144.53,circle,2,0,290,0,none,byOceanAge,1
16925,290,108,84.49,-97.97,circle,2,0,290,0,none,byOceanAge,1
16926,290,108,87.54,-170.87,circle,2,0,290,0,none,byOceanAge,1
16930,300,133,79.73,52.6,circle,2,0,300,0,none,byOceanAge,1
16936,300,101,84.06,-5.63,circle,2,0,300,0,none,byOceanAge,1
16946,300,108,86.45,-70.21,circle,2,0,300,0,none,byOceanAge,1
16947,300,108,87.28,-87.65,circle,2,0,300,0,none,byOceanAge,1
16987,300,101,74.54,-9.41,circle,2,0,300,0,none,byOceanAge,1
17005,310,109,85.68,-24.97,circle,2,0,310,0,none,byOceanAge,1
16990,320,101,77.32,-87.25,circle,2,0,320,0,none,byOceanAge,1
16993,320,108,82.74,137.35,circle,2,0,320,0,none,byOceanAge,1
16994,320,108,83.01,-74.33,circle,2,0,320,0,none,byOceanAge,1
17000,320,101,74.39,-128.04,circle,2,0,320,0,none,byOceanAge,1
17001,320,101,82.83,91.45,circle,2,0,320,0,none,byOceanAge,1
17004,320,101,82,90.8,circle,2,0,320,0,none,byOceanAge,1
17006,320,108,85.12,70.1,circle,2,0,320,0,none,byOceanAge,1
17013,330,101,79.47,149.83,circle,2,0,330,0,none,byOceanAge,1
17015,330,101,84.43,-145.16,circle,2,0,330,0,none,byOceanAge,1
17019,330,108,80.66,-61.16,circle,2,0,330,0,none,byOceanAge,1
17021,330,108,74.38,-137.26,circle,2,0,330,0,none,byOceanAge,1
17032,330,101,87.27,18.11,circle,2,0,330,0,none,byOceanAge,1
17033,330,101,82.12,-19.09,circle,2,0,330,0,none,byOceanAge,1
17039,340,101,63.65,-133.32,circle,2,0,340,0,none,byOceanAge,1
17111,340,108,85.04,51.96,circle,2,0,340,0,none,byOceanAge,1
17036,350,108,63.12,-93.47,circle,2,0,350,0,none,byOceanAge,1
17037,350,108,75.56,-62.3,circle,2,0,350,0,none,byOceanAge,1
17042,350,108,77.99,157.89,circle,2,0,350,0,none,byOceanAge,1
17051,350,108,86.51,-31.75,circle,2,0,350,0,none,byOceanAge,1
17054,350,108,75.48,42.41,circle,2,0,350,0,none,byOceanAge,1
17079,350,108,82.93,-130.96,circle,2,0,350,0,none,byOceanAge,1
17043,360,101,85.31,-6,circle,2,0,360,0,none,byOceanAge,1
17068,360,108,80.93,-71.4,circle,2,0,360,0,none,byOceanAge,1
17069,360,101,80.37,-49.94,circle,2,0,360,0,none,byOceanAge,1
17070,360,101,61.22,40.37,circle,2,0,360,0,none,byOceanAge,1
17074,360,108,49.58,43.52,circle,2,0,360,0,none,byOceanAge,1
17078,360,108,83.4,16.98,circle,2,0,360,0,none,byOceanAge,1
17080,360,101,71.44,52.12,circle,2,0,360,0,none,byOceanAge,1
17085,360,108,55.79,51.5,circle,2,0,360,0,none,byOceanAge,1
17055,370,101,61.46,51.45,circle,2,0,370,0,none,byOceanAge,1
17056,370,108,27.82,157.24,circle,2,0,370,0,none,byOceanAge,1
17071,370,101,51.79,48.21,circle,2,0,370,0,none,byOceanAge,1
17076,370,101,86.23,50.64,circle,2,0,370,0,none,byOceanAge,1
17108,400,102,86.93,103.46,circle,2,0,400,0,none,byOceanAge,1
17116,400,101,68.26,85.14,circle,2,0,400,0,none,byOceanAge,1
17117,400,101,79.08,27.1,circle,2,0,400,0,none,byOceanAge,1
17118,400,108,55.18,30.9,circle,2,0,400,0,none,byOceanAge,1
17162,400,108,55.04,33.22,circle,2,0,400,0,none,byOceanAge,1
17171,400,101,21.43,171.59,circle,2,0,400,0,none,byOceanAge,1
17131,410,101,58.6,84.97,circle,2,0,410,0,none,byOceanAge,1
17139,410,108,58.49,29.14,circle,2,0,410,0,none,byOceanAge,1
17140,410,108,33.67,130.89,circle,2,0,410,0,none,byOceanAge,1
17141,410,108,35.92,178.16,circle,2,0,410,0,none,byOceanAge,1
17185,410,108,58.14,-158.26,circle,2,0,410,0,none,byOceanAge,1
17199,410,101,34.55,97.47,circle,2,0,410,0,none,byOceanAge,1
17164,420,101,82.54,-54.24,circle,2,0,420,0,none,byOceanAge,1
17165,420,101,85.84,-25.56,circle,2,0,420,0,none,byOceanAge,1
17166,420,108,74.9,149.32,circle,2,0,420,0,none,byOceanAge,1
17186,430,108,80.19,-93.6,circle,2,0,430,0,none,byOceanAge,1
17187,430,101,71.29,35.56,circle,2,0,430,0,none,byOceanAge,1
17194,430,108,48.26,24.19,circle,2,0,430,0,none,byOceanAge,1
17195,430,108,77.59,-173.16,circle,2,0,430,0,none,byOceanAge,1
17196,430,108,76.27,131.25,circle,2,0,430,0,none,byOceanAge,1
17202,430,101,71.15,-19.27,circle,2,0,430,0,none,byOceanAge,1
17204,430,101,72.27,-69.37,circle,2,0,430,0,none,byOceanAge,1
17205,430,101,86.93,-47.71,circle,2,0,430,0,none,byOceanAge,1
17216,440,101,78.58,-93,circle,2,0,440,0,none,byOceanAge,1
17218,450,101,59.79,25.83,circle,2,0,450,0,none,byOceanAge,1
17220,450,101,65.02,45.28,circle,2,0,450,0,none,byOceanAge,1
17221,450,101,86.04,14.19,circle,2,0,450,0,none,byOceanAge,1
17222,450,101,67.96,11.48,circle,2,0,450,0,none,byOceanAge,1
17225,450,101,22.66,134.05,circle,2,0,450,0,none,byOceanAge,1
17226,450,109,68.32,-4.92,circle,2,0,450,0,none,byOceanAge,1
17229,450,101,78.04,-143.73,circle,2,0,450,0,none,byOceanAge,1
17230,450,101,65.8,-118.85,circle,2,0,450,0,none,byOceanAge,1
17231,450,101,72.2,-127.41,circle,2,0,450,0,none,byOceanAge,1
17237,450,101,60.32,-95.15,circle,2,0,450,0,none,byOceanAge,1
17239,450,108,31.87,107.94,circle,2,0,450,0,none,byOceanAge,1
17266,450,101,81.71,-82.79,circle,2,0,450,0,none,byOceanAge,1
17279,450,101,58.56,50.31,circle,2,0,450,0,none,byOceanAge,1
17250,460,101,82.69,-172.21,circle,2,0,460,0,none,byOceanAge,1
17256,460,108,62.81,-0.99,circle,2,0,460,0,none,byOceanAge,1
17257,460,101,85.32,80.65,circle,2,0,460,0,none,byOceanAge,1
17267,460,101,72.82,-97.45,circle,2,0,460,0,none,byOceanAge,1
17272,460,101,34.31,115.65,circle,2,0,460,0,none,byOceanAge,1
17287,470,101,67.93,-20.64,circle,2,0,470,0,none,byOceanAge,1
17288,470,101,63.73,-12.91,circle,2,0,470,0,none,byOceanAge,1
17298,470,101,64.18,-114.72,circle,2,0,470,0,none,byOceanAge,1
17301,470,108,15.29,35.49,circle,2,0,470,0,none,byOceanAge,1
17308,470,133,42.57,12.99,circle,2,0,470,0,none,byOceanAge,1
17319,470,101,74.06,108.64,circle,2,0,470,0,none,byOceanAge,1
17310,480,101,67.47,71.7,circle,2,0,480,0,none,byOceanAge,1
17418,480,108,-11.96,164.63,circle,2,0,480,0,none,byOceanAge,1
17433,480,101,77.97,-21.84,circle,2,0,480,0,none,byOceanAge,1
17435,480,101,34.83,-4.35,circle,2,0,480,0,none,byOceanAge,1
17318,490,101,39.01,-99.63,circle,2,0,490,0,none,byOceanAge,1
17321,490,101,74.34,-64.81,circle,2,0,490,0,none,byOceanAge,1
17325,490,101,71.35,-121.08,circle,2,0,490,0,none,byOceanAge,1
17326,490,101,78.3,-91.07,circle,2,0,490,0,none,byOceanAge,1
17327,490,101,63.26,-133.85,circle,2,0,490,0,none,byOceanAge,1
17328,490,101,62.06,-29.89,circle,2,0,490,0,none,byOceanAge,1
17329,490,101,55.1,-22.53,circle,2,0,490,0,none,byOceanAge,1
17330,490,101,65.21,-39.85,circle,2,0,490,0,none,byOceanAge,1
17331,490,101,75.49,-72.14,circle,2,0,490,0,none,byOceanAge,1
17332,490,101,43.25,-36.01,circle,2,0,490,0,none,byOceanAge,1
17333,490,101,51.77,-44.91,circle,2,0,490,0,none,byOceanAge,1
17369,500,101,68.14,9.26,circle,2,0,500,0,none,byOceanAge,1
17351,510,101,45.17,-25.65,circle,2,0,510,0,none,byOceanAge,1
17352,510,101,44.38,-31.97,circle,2,0,510,0,none,byOceanAge,1
17375,510,101,76.19,-63.85,circle,2,0,510,0,none,byOceanAge,1
17434,510,101,69.56,-90.02,circle,2,0,510,0,none,byOceanAge,1
17378,520,109,21.33,20.75,circle,2,0,520,0,none,byOceanAge,1
17380,520,101,51.91,-14.52,circle,2,0,520,0,none,byOceanAge,1
17384,520,101,-40.4,29.21,circle,2,0,520,0,none,byOceanAge,1
17393,530,133,68.27,-38.93,circle,2,0,530,0,none,byOceanAge,1
17394,530,101,42.3,-58.07,circle,2,0,530,0,none,byOceanAge,1
17396,530,108,24.45,145.39,circle,2,0,530,0,none,byOceanAge,1
17397,530,108,8.47,151.66,circle,2,0,530,0,none,byOceanAge,1
17420,530,101,66.19,-39.15,circle,2,0,530,0,none,byOceanAge,1
17421,530,101,65.41,-88.2,circle,2,0,530,0,none,byOceanAge,1
17422,530,101,60.61,-124.72,circle,2,0,530,0,none,byOceanAge,1
17426,530,102,28.77,-110.27,circle,2,0,530,0,none,byOceanAge,1
17423,540,108,42.09,104.07,circle,2,0,540,0,none,byOceanAge,1
