URN,Label,PlateID,latitude,longitude,Symbol,Size,Azimuth,start_time,end_time,Border Color,Fill Color,alpha
9791,Basalt,712,-1.5,29.6,circle,1.5,0,5.33,0,none,byGeoAge,1
9793,Basalt,616,22.5,98,circle,1.5,0,5.33,0,none,byGeoAge,1
9794,Basalt,624,22.3,95,circle,1.5,0,5.33,0,none,byGeoAge,1
9796,Basalt,624,20.9,95.3,circle,1.5,0,5.33,0,none,byGeoAge,1
9797,Basalt,616,25.1,98.5,circle,1.5,0,5.33,0,none,byGeoAge,1
9798,Basalt,624,25.9,96.5,circle,1.5,0,5.33,0,none,byGeoAge,1
9799,Basalt,616,11.7,98.7,circle,1.5,0,5.33,0,none,byGeoAge,1
9802,Basalt,716,14,40.3,circle,1.5,0,5.33,0,none,byGeoAge,1
9803,Basalt,616,18.2,99.6,circle,1.5,0,5.33,0,none,byGeoAge,1
9804,Basalt,615,10.9,107.2,circle,1.5,0,5.33,0,none,byGeoAge,1
9805,Basalt,615,15.3,106.3,circle,1.5,0,5.33,0,none,byGeoAge,1
9806,Basalt,615,13.6,107.2,circle,1.5,0,5.33,0,none,byGeoAge,1
9807,Basalt,503,25.8,40.2,circle,1.5,0,5.33,0,none,byGeoAge,1
9831,Basalt,132,43.6,-113.2,circle,1.5,0,5.33,0,none,byGeoAge,1
9832,Basalt,132,43.5,-112.5,circle,1.5,0,5.33,0,none,byGeoAge,1
9833,Basalt,132,43.6,-112,circle,1.5,0,5.33,0,none,byGeoAge,1
9834,Basalt,132,44.2,-112.3,circle,1.5,0,5.33,0,none,byGeoAge,1
9835,Basalt,132,42.9,-113,circle,1.5,0,5.33,0,none,byGeoAge,1
9836,Basalt,132,42.9,-114.7,circle,1.5,0,5.33,0,none,byGeoAge,1
9837,Basalt,131,43.2,-116,circle,1.5,0,5.33,0,none,byGeoAge,1
9868,Basalt,503,24.9,37.8,circle,1.5,0,5.33,0,none,byGeoAge,1
9869,Basalt,503,22.3,41.4,circle,1.5,0,5.33,0,none,byGeoAge,1
9870,Basalt,503,24.9,40.2,circle,1.5,0,5.33,0,none,byGeoAge,1
9871,Basalt,503,20.4,41.7,circle,1.5,0,5.33,0,none,byGeoAge,1
9872,Basalt,503,20.8,42.3,circle,1.5,0,5.33,0,none,byGeoAge,1
9873,Basalt,503,20.7,41.5,circle,1.5,0,5.33,0,none,byGeoAge,1
9874,Basalt,503,22.8,41.6,circle,1.5,0,5.33,0,none,byGeoAge,1
9875,Basalt,503,17.9,41.8,circle,1.5,0,5.33,0,none,byGeoAge,1
9876,Basalt,503,23.4,41.5,circle,1.5,0,5.33,0,none,byGeoAge,1
9877,Basalt,503,24.3,40,circle,1.5,0,5.33,0,none,byGeoAge,1
9878,Basalt,503,24.3,37.7,circle,1.5,0,5.33,0,none,byGeoAge,1
9879,Basalt,503,25.3,37.8,circle,1.5,0,5.33,0,none,byGeoAge,1
9880,Basalt,503,22.7,41,circle,1.5,0,5.33,0,none,byGeoAge,1
9881,Basalt,503,21.8,42.3,circle,1.5,0,5.33,0,none,byGeoAge,1
9882,Basalt,503,23,39.5,circle,1.5,0,5.33,0,none,byGeoAge,1
9883,Basalt,503,22.8,40.7,circle,1.5,0,5.33,0,none,byGeoAge,1
9884,Basalt,503,25.3,40.3,circle,1.5,0,5.33,0,none,byGeoAge,1
9885,Basalt,503,24.4,39.7,circle,1.5,0,5.33,0,none,byGeoAge,1
9886,Basalt,503,21.4,42.5,circle,1.5,0,5.33,0,none,byGeoAge,1
9887,Basalt,503,21.8,40,circle,1.5,0,5.33,0,none,byGeoAge,1
9888,Basalt,503,26.7,39.8,circle,1.5,0,5.33,0,none,byGeoAge,1
9889,Basalt,503,18.4,41.6,circle,1.5,0,5.33,0,none,byGeoAge,1
9890,Basalt,503,23.3,40.3,circle,1.5,0,5.33,0,none,byGeoAge,1
9891,Basalt,503,25.2,37.1,circle,1.5,0,5.33,0,none,byGeoAge,1
9892,Basalt,503,26,40.4,circle,1.5,0,5.33,0,none,byGeoAge,1
9893,Basalt,503,26.6,40.3,circle,1.5,0,5.33,0,none,byGeoAge,1
9894,Basalt,503,21.5,41.9,circle,1.5,0,5.33,0,none,byGeoAge,1
9895,Basalt,503,24,39.7,circle,1.5,0,5.33,0,none,byGeoAge,1
9896,Basalt,503,22.6,39.5,circle,1.5,0,5.33,0,none,byGeoAge,1
9897,Basalt,503,22.4,40,circle,1.5,0,5.33,0,none,byGeoAge,1
9898,Basalt,503,25.7,39.7,circle,1.5,0,5.33,0,none,byGeoAge,1
9899,Basalt,503,22.2,40.6,circle,1.5,0,5.33,0,none,byGeoAge,1
9900,Basalt,503,21.1,41.6,circle,1.5,0,5.33,0,none,byGeoAge,1
9901,Basalt,503,23.3,41,circle,1.5,0,5.33,0,none,byGeoAge,1
9902,Basalt,503,25.2,39.9,circle,1.5,0,5.33,0,none,byGeoAge,1
9903,Basalt,503,23.5,39.9,circle,1.5,0,5.33,0,none,byGeoAge,1
9904,Basalt,503,24,40.2,circle,1.5,0,5.33,0,none,byGeoAge,1
9910,Basalt,291,-33.5,-69.6,circle,1.5,0,5.33,0,none,byGeoAge,1
9912,Basalt,124,52,-120.1,circle,1.5,0,5.33,0,none,byGeoAge,1
9919,Basalt,132,39,-112.5,circle,1.5,0,5.33,0,none,byGeoAge,1
9962,Basalt,104,24.3,-104.5,circle,1.5,0,5.33,0,none,byGeoAge,1
9963,Basalt,131,38,-116.3,circle,1.5,0,5.33,0,none,byGeoAge,1
