URN,Label,PlateID,rlat,rlon,Symbol,Size,Azimuth,Time,Time,Border Color,Fill Color
28031,Gypsum,0,14.8,3.54,G,1.0,0,100,100,none,yellow
28033,Gypsum,0,16.69,4.56,G,1.0,0,100,100,none,yellow
28034,Gypsum,0,15.58,4.09,G,1.0,0,100,100,none,yellow
28035,Gypsum,0,16.97,3.37,G,1.0,0,100,100,none,yellow
28036,Gypsum,0,14.7,4.53,G,1.0,0,100,100,none,yellow
28037,Gypsum,0,13.85,4.9,G,1.0,0,100,100,none,yellow
28039,Gypsum,0,13.13,4.85,G,1.0,0,100,100,none,yellow
28040,Gypsum,0,12.42,5.46,G,1.0,0,100,100,none,yellow
28041,Gypsum,0,13.0,4.25,G,1.0,0,100,100,none,yellow
28042,Gypsum,0,11.95,5.97,G,1.0,0,100,100,none,yellow
28043,Gypsum,0,11.52,7.05,G,1.0,0,100,100,none,yellow
28044,Gypsum,0,14.34,8.48,G,1.0,0,100,100,none,yellow
28045,Gypsum,0,14.7,5.55,G,1.0,0,100,100,none,yellow
28046,Gypsum,0,14.1,6.84,G,1.0,0,100,100,none,yellow
28047,Gypsum,0,14.03,8.11,G,1.0,0,100,100,none,yellow
28048,Gypsum,0,15.29,5.01,G,1.0,0,100,100,none,yellow
28278,Gypsum,0,17.51,-2.55,G,1.0,0,100,100,none,yellow
28291,Gypsum,0,2.19,6.91,G,1.0,0,100,100,none,yellow
28292,Gypsum,0,2.19,6.91,G,1.0,0,100,100,none,yellow
28331,Gypsum,0,2.23,-0.19,G,1.0,0,100,100,none,yellow
28332,Gypsum,0,2.98,-0.25,G,1.0,0,100,100,none,yellow
28410,Gypsum,0,0.98,0.11,G,1.0,0,100,100,none,yellow
28411,Gypsum,0,2.78,-1.92,G,1.0,0,100,100,none,yellow
28413,Gypsum,0,-1.56,2.96,G,1.0,0,100,100,none,yellow
28586,Gypsum,0,-11.25,49.29,G,1.0,0,100,100,none,yellow
28745,Gypsum,0,13.88,9.71,G,1.0,0,100,100,none,yellow
28777,Gypsum,0,16.53,-54.63,G,1.0,0,100,100,none,yellow
28778,Gypsum,0,16.83,-55.05,G,1.0,0,100,100,none,yellow
28779,Gypsum,0,16.2,-55.91,G,1.0,0,100,100,none,yellow
28780,Gypsum,0,16.5,-56.34,G,1.0,0,100,100,none,yellow
28781,Gypsum,0,15.92,-55.58,G,1.0,0,100,100,none,yellow
28782,Gypsum,0,13.62,-58.56,G,1.0,0,100,100,none,yellow
28871,Gypsum,0,13.96,10.91,G,1.0,0,100,100,none,yellow
28872,Gypsum,0,13.89,10.44,G,1.0,0,100,100,none,yellow
28902,Gypsum,0,15.68,4.77,G,1.0,0,100,100,none,yellow
28903,Gypsum,0,17.75,-3.22,G,1.0,0,100,100,none,yellow
28907,Gypsum,0,-16.1,34.89,G,1.0,0,100,100,none,yellow
28908,Gypsum,0,-16.9,34.86,G,1.0,0,100,100,none,yellow
28909,Gypsum,0,-17.93,35.55,G,1.0,0,100,100,none,yellow
28910,Gypsum,0,-18.92,35.41,G,1.0,0,100,100,none,yellow
28936,Gypsum,0,17.78,-47.23,G,1.0,0,100,100,none,yellow
28937,Gypsum,0,18.8,-48.17,G,1.0,0,100,100,none,yellow
28939,Gypsum,0,19.09,-47.12,G,1.0,0,100,100,none,yellow
28940,Gypsum,0,18.94,-48.83,G,1.0,0,100,100,none,yellow
28958,Gypsum,0,-17.71,35.14,G,1.0,0,100,100,none,yellow
28981,Gypsum,0,10.08,36.37,G,1.0,0,100,100,none,yellow
29334,Gypsum,0,13.39,10.74,G,1.0,0,100,100,none,yellow
29335,Gypsum,0,12.72,7.61,G,1.0,0,100,100,none,yellow
29336,Gypsum,0,13.04,9.0,G,1.0,0,100,100,none,yellow
29337,Gypsum,0,12.83,8.29,G,1.0,0,100,100,none,yellow
29338,Gypsum,0,11.8,8.25,G,1.0,0,100,100,none,yellow
29339,Gypsum,0,13.54,11.7,G,1.0,0,100,100,none,yellow
29341,Gypsum,0,12.73,9.73,G,1.0,0,100,100,none,yellow
29342,Gypsum,0,13.43,9.48,G,1.0,0,100,100,none,yellow
29344,Gypsum,0,12.13,10.01,G,1.0,0,100,100,none,yellow
29345,Gypsum,0,13.09,9.56,G,1.0,0,100,100,none,yellow
29625,Gypsum,0,36.98,66.56,G,1.0,0,100,100,none,yellow
29687,Gypsum,0,35.68,65.29,G,1.0,0,100,100,none,yellow
29737,Gypsum,0,37.64,67.75,G,1.0,0,100,100,none,yellow
29855,Gypsum,0,12.93,-56.9,G,1.0,0,100,100,none,yellow
29856,Gypsum,0,13.29,-58.03,G,1.0,0,100,100,none,yellow
29857,Gypsum,0,12.48,-57.62,G,1.0,0,100,100,none,yellow
29911,Gypsum,0,11.96,34.88,G,1.0,0,100,100,none,yellow
29924,Gypsum,0,18.87,-7.1,G,1.0,0,100,100,none,yellow
29925,Gypsum,0,18.59,-7.51,G,1.0,0,100,100,none,yellow
30038,Gypsum,0,17.67,8.54,G,1.0,0,100,100,none,yellow
30090,Gypsum,0,19.24,3.55,G,1.0,0,100,100,none,yellow
30091,Gypsum,0,19.15,2.87,G,1.0,0,100,100,none,yellow
30093,Gypsum,0,19.66,3.24,G,1.0,0,100,100,none,yellow
30154,Gypsum,0,7.15,26.99,G,1.0,0,100,100,none,yellow
30255,Gypsum,0,36.75,69.44,G,1.0,0,100,100,none,yellow
30256,Gypsum,0,36.61,68.79,G,1.0,0,100,100,none,yellow
30260,Gypsum,0,35.68,70.28,G,1.0,0,100,100,none,yellow
30277,Gypsum,0,36.81,113.02,G,1.0,0,100,100,none,yellow
30278,Gypsum,0,37.16,113.27,G,1.0,0,100,100,none,yellow
30312,Gypsum,0,39.35,113.97,G,1.0,0,100,100,none,yellow
30313,Gypsum,0,40.13,114.41,G,1.0,0,100,100,none,yellow
30314,Gypsum,0,39.53,114.12,G,1.0,0,100,100,none,yellow
30315,Gypsum,0,39.96,113.78,G,1.0,0,100,100,none,yellow
30489,Gypsum,0,-49.81,41.99,G,1.0,0,100,100,none,yellow
30520,Gypsum,0,13.43,-56.38,G,1.0,0,100,100,none,yellow
30521,Gypsum,0,15.6,-57.77,G,1.0,0,100,100,none,yellow
30558,Gypsum,0,21.12,99.01,G,1.0,0,100,100,none,yellow
30559,Gypsum,0,18.45,97.02,G,1.0,0,100,100,none,yellow
30560,Halite,0,20.98,100.39,E,1.0,0,100,100,none,orange
30561,Gypsum,0,21.04,100.61,G,1.0,0,100,100,none,yellow
30594,Gypsum,0,23.59,-66.65,G,1.0,0,100,100,none,yellow
30748,Gypsum,0,33.65,64.42,G,1.0,0,100,100,none,yellow
30759,Gypsum,0,33.04,62.92,G,1.0,0,100,100,none,yellow
30823,Gypsum,0,-19.44,35.71,G,1.0,0,100,100,none,yellow
30825,Gypsum,0,-16.27,36.96,G,1.0,0,100,100,none,yellow
