URN,Label,PlateID,latitude,longitude,Symbol,Size,Azimuth,start_time,end_time,Border Color,Fill Color
9787,Basalt,127,56.5,-130.7,circle,1.5,0,5.33,0,none,byGeoAge
9788,Basalt,127,56.7,-131.3,circle,1.5,0,5.33,0,none,byGeoAge
9790,Basalt,128,52.3,-128.3,circle,1.5,0,5.33,0,none,byGeoAge
9791,Basalt,712,-1.5,29.6,circle,1.5,0,5.33,0,none,byGeoAge
9793,Basalt,616,22.5,98,circle,1.5,0,5.33,0,none,byGeoAge
9794,Basalt,624,22.3,95,circle,1.5,0,5.33,0,none,byGeoAge
9796,Basalt,624,20.9,95.3,circle,1.5,0,5.33,0,none,byGeoAge
9797,Basalt,616,25.1,98.5,circle,1.5,0,5.33,0,none,byGeoAge
9798,Basalt,624,25.9,96.5,circle,1.5,0,5.33,0,none,byGeoAge
9799,Basalt,616,11.7,98.7,circle,1.5,0,5.33,0,none,byGeoAge
9802,Basalt,716,14,40.3,circle,1.5,0,5.33,0,none,byGeoAge
9803,Basalt,616,18.2,99.6,circle,1.5,0,5.33,0,none,byGeoAge
9804,Basalt,615,10.9,107.2,circle,1.5,0,5.33,0,none,byGeoAge
9805,Basalt,615,15.3,106.3,circle,1.5,0,5.33,0,none,byGeoAge
9806,Basalt,615,13.6,107.2,circle,1.5,0,5.33,0,none,byGeoAge
9807,Basalt,503,25.8,40.2,circle,1.5,0,5.33,0,none,byGeoAge
9831,Basalt,132,43.6,-113.2,circle,1.5,0,5.33,0,none,byGeoAge
9832,Basalt,132,43.5,-112.5,circle,1.5,0,5.33,0,none,byGeoAge
9833,Basalt,132,43.6,-112,circle,1.5,0,5.33,0,none,byGeoAge
9834,Basalt,132,44.2,-112.3,circle,1.5,0,5.33,0,none,byGeoAge
9835,Basalt,132,42.9,-113,circle,1.5,0,5.33,0,none,byGeoAge
9836,Basalt,132,42.9,-114.7,circle,1.5,0,5.33,0,none,byGeoAge
9837,Basalt,131,43.2,-116,circle,1.5,0,5.33,0,none,byGeoAge
9868,Basalt,503,24.9,37.8,circle,1.5,0,5.33,0,none,byGeoAge
9869,Basalt,503,22.3,41.4,circle,1.5,0,5.33,0,none,byGeoAge
9870,Basalt,503,24.9,40.2,circle,1.5,0,5.33,0,none,byGeoAge
9871,Basalt,503,20.4,41.7,circle,1.5,0,5.33,0,none,byGeoAge
9872,Basalt,503,20.8,42.3,circle,1.5,0,5.33,0,none,byGeoAge
9873,Basalt,503,20.7,41.5,circle,1.5,0,5.33,0,none,byGeoAge
9874,Basalt,503,22.8,41.6,circle,1.5,0,5.33,0,none,byGeoAge
9875,Basalt,503,17.9,41.8,circle,1.5,0,5.33,0,none,byGeoAge
9876,Basalt,503,23.4,41.5,circle,1.5,0,5.33,0,none,byGeoAge
9877,Basalt,503,24.3,40,circle,1.5,0,5.33,0,none,byGeoAge
9878,Basalt,503,24.3,37.7,circle,1.5,0,5.33,0,none,byGeoAge
9879,Basalt,503,25.3,37.8,circle,1.5,0,5.33,0,none,byGeoAge
9880,Basalt,503,22.7,41,circle,1.5,0,5.33,0,none,byGeoAge
9881,Basalt,503,21.8,42.3,circle,1.5,0,5.33,0,none,byGeoAge
9882,Basalt,503,23,39.5,circle,1.5,0,5.33,0,none,byGeoAge
9883,Basalt,503,22.8,40.7,circle,1.5,0,5.33,0,none,byGeoAge
9884,Basalt,503,25.3,40.3,circle,1.5,0,5.33,0,none,byGeoAge
9885,Basalt,503,24.4,39.7,circle,1.5,0,5.33,0,none,byGeoAge
9886,Basalt,503,21.4,42.5,circle,1.5,0,5.33,0,none,byGeoAge
9887,Basalt,503,21.8,40,circle,1.5,0,5.33,0,none,byGeoAge
9888,Basalt,503,26.7,39.8,circle,1.5,0,5.33,0,none,byGeoAge
9889,Basalt,503,18.4,41.6,circle,1.5,0,5.33,0,none,byGeoAge
9890,Basalt,503,23.3,40.3,circle,1.5,0,5.33,0,none,byGeoAge
9891,Basalt,503,25.2,37.1,circle,1.5,0,5.33,0,none,byGeoAge
9892,Basalt,503,26,40.4,circle,1.5,0,5.33,0,none,byGeoAge
9893,Basalt,503,26.6,40.3,circle,1.5,0,5.33,0,none,byGeoAge
9894,Basalt,503,21.5,41.9,circle,1.5,0,5.33,0,none,byGeoAge
9895,Basalt,503,24,39.7,circle,1.5,0,5.33,0,none,byGeoAge
9896,Basalt,503,22.6,39.5,circle,1.5,0,5.33,0,none,byGeoAge
9897,Basalt,503,22.4,40,circle,1.5,0,5.33,0,none,byGeoAge
9898,Basalt,503,25.7,39.7,circle,1.5,0,5.33,0,none,byGeoAge
9899,Basalt,503,22.2,40.6,circle,1.5,0,5.33,0,none,byGeoAge
9900,Basalt,503,21.1,41.6,circle,1.5,0,5.33,0,none,byGeoAge
9901,Basalt,503,23.3,41,circle,1.5,0,5.33,0,none,byGeoAge
9902,Basalt,503,25.2,39.9,circle,1.5,0,5.33,0,none,byGeoAge
9903,Basalt,503,23.5,39.9,circle,1.5,0,5.33,0,none,byGeoAge
9904,Basalt,503,24,40.2,circle,1.5,0,5.33,0,none,byGeoAge
9910,Basalt,291,-33.5,-69.6,circle,1.5,0,5.33,0,none,byGeoAge
9912,Basalt,124,52,-120.1,circle,1.5,0,5.33,0,none,byGeoAge
9919,Basalt,132,39,-112.5,circle,1.5,0,5.33,0,none,byGeoAge
9962,Basalt,104,24.3,-104.5,circle,1.5,0,5.33,0,none,byGeoAge
9963,Basalt,131,38,-116.3,circle,1.5,0,5.33,0,none,byGeoAge
9964,Basalt,131,37.1,-116.3,circle,1.5,0,5.33,0,none,byGeoAge
9965,Basalt,123,57.1,-170.3,circle,1.5,0,5.33,0,none,byGeoAge
9967,Basalt,291,-37.2,-70.3,circle,1.5,0,5.33,0,none,byGeoAge
9968,Basalt,291,-38.7,-70.3,circle,1.5,0,5.33,0,none,byGeoAge
9969,Basalt,291,-39.8,-70.6,circle,1.5,0,5.33,0,none,byGeoAge
9972,Basalt,659,15.3,120.3,circle,1.5,0,5.33,0,none,byGeoAge
9973,Basalt,659,14.1,121.2,circle,1.5,0,5.33,0,none,byGeoAge
9974,Basalt,714,14.7,-17.4,circle,1.5,0,5.33,0,none,byGeoAge
10005,Basalt,416,53.9,-167,circle,1.5,0,5.33,0,none,byGeoAge
10006,Basalt,707,33.6,-4,circle,1.5,0,5.33,0,none,byGeoAge
10159,Basalt,416,51.7,-177.6,circle,1.5,0,5.33,0,none,byGeoAge
10161,Basalt,105,30.2,-114.6,circle,1.5,0,5.33,0,none,byGeoAge
10163,Basalt,105,29.8,-114.4,circle,1.5,0,5.33,0,none,byGeoAge
10164,Basalt,105,30.5,-116,circle,1.5,0,5.33,0,none,byGeoAge
10165,Basalt,105,28.7,-114,circle,1.5,0,5.33,0,none,byGeoAge
10166,Basalt,105,28.1,-113.1,circle,1.5,0,5.33,0,none,byGeoAge
10175,Basalt,619,3.8,103.3,circle,1.5,0,5.33,0,none,byGeoAge
10176,Basalt,801,-18.5,145,circle,1.5,0,5.33,0,none,byGeoAge
10178,Basalt,675,-7.1,157,circle,1.5,0,5.33,0,none,byGeoAge
10186,Basalt,675,-7.7,156.6,circle,1.5,0,5.33,0,none,byGeoAge
10187,Basalt,675,-8,157,circle,1.5,0,5.33,0,none,byGeoAge
10230,Basalt,620,-6.6,110.9,circle,1.5,0,5.33,0,none,byGeoAge
10238,Basalt,801,-6.6,142.8,circle,1.5,0,5.33,0,none,byGeoAge
10239,Basalt,801,-6.6,145,circle,1.5,0,5.33,0,none,byGeoAge
10240,Basalt,801,-6,143.9,circle,1.5,0,5.33,0,none,byGeoAge
10242,Basalt,801,-7,145.8,circle,1.5,0,5.33,0,none,byGeoAge
10243,Basalt,801,-5.8,143,circle,1.5,0,5.33,0,none,byGeoAge
10244,Basalt,801,-5.6,144.1,circle,1.5,0,5.33,0,none,byGeoAge
10254,Basalt,620,-5.7,108,circle,1.5,0,5.33,0,none,byGeoAge
10285,Basalt,406,62.2,-164.2,circle,1.5,0,5.33,0,none,byGeoAge
10286,Basalt,123,59.3,-160.1,circle,1.5,0,5.33,0,none,byGeoAge
10287,Basalt,406,60,-166.3,circle,1.5,0,5.33,0,none,byGeoAge
10303,Basalt,505,29.6,56.5,circle,1.5,0,5.33,0,none,byGeoAge
10309,Basalt,505,31.3,60,circle,1.5,0,5.33,0,none,byGeoAge
10310,Basalt,505,31.3,57.5,circle,1.5,0,5.33,0,none,byGeoAge
10311,Basalt,505,31,61,circle,1.5,0,5.33,0,none,byGeoAge
10325,Basalt,611,23.6,119.6,circle,1.5,0,5.33,0,none,byGeoAge
10326,Basalt,503,14.6,44.8,circle,1.5,0,5.33,0,none,byGeoAge
10329,Basalt,901,-13.5,-172.8,circle,1.5,0,5.33,0,none,byGeoAge
10330,Basalt,901,-13.7,-172.2,circle,1.5,0,5.33,0,none,byGeoAge
10331,Basalt,901,-13.9,-171.6,circle,1.5,0,5.33,0,none,byGeoAge
10332,Basalt,127,58,-131,circle,1.5,0,5.33,0,none,byGeoAge
10333,Basalt,709,-3.1,37.3,circle,1.5,0,5.33,0,none,byGeoAge
10334,Basalt,709,-3,38,circle,1.5,0,5.33,0,none,byGeoAge
10335,Basalt,709,-2.6,37.8,circle,1.5,0,5.33,0,none,byGeoAge
10336,Basalt,709,-2.2,38,circle,1.5,0,5.33,0,none,byGeoAge
10337,Basalt,709,-2.2,37.3,circle,1.5,0,5.33,0,none,byGeoAge
10338,Basalt,709,-0.1,38.2,circle,1.5,0,5.33,0,none,byGeoAge
10339,Basalt,709,-0.7,37.6,circle,1.5,0,5.33,0,none,byGeoAge
10340,Basalt,709,0.8,38.7,circle,1.5,0,5.33,0,none,byGeoAge
10341,Basalt,709,2.4,36.8,circle,1.5,0,5.33,0,none,byGeoAge
10342,Basalt,709,0.2,37.6,circle,1.5,0,5.33,0,none,byGeoAge
10343,Basalt,709,4,38,circle,1.5,0,5.33,0,none,byGeoAge
10344,Basalt,709,0.2,38.3,circle,1.5,0,5.33,0,none,byGeoAge
10345,Basalt,709,3.2,39,circle,1.5,0,5.33,0,none,byGeoAge
10346,Basalt,709,3.5,38.2,circle,1.5,0,5.33,0,none,byGeoAge
10347,Basalt,709,3.7,38.7,circle,1.5,0,5.33,0,none,byGeoAge
10348,Basalt,709,3.6,37.6,circle,1.5,0,5.33,0,none,byGeoAge
10349,Basalt,709,3,37.5,circle,1.5,0,5.33,0,none,byGeoAge
10350,Basalt,709,3,39.3,circle,1.5,0,5.33,0,none,byGeoAge
10351,Basalt,709,3,38.7,circle,1.5,0,5.33,0,none,byGeoAge
