9999 9999,GPML,nolabel,none,black,byPlateId,1,0
 101 4500.0   -inf UN   0   0   0     0
 -15.4905 -101.3915 2
 -15.4865 -102.0454 2
 -15.6675 -102.6085 2
 -15.8249 -103.0746 2
 -15.8711 -103.5689 2
 -15.1370 -103.6447 2
 -14.6233 -103.7110 2
 -13.9198 -103.6371 2
 -13.2675 -103.5482 2
 -12.7131 -103.2129 2
 -12.3690 -102.1661 2
 -12.1557 -101.3129 2
 -12.0597  -99.7695 2
 -11.8888  -98.8946 2
 -11.5896  -98.3412 2
 -11.1707  -97.9449 2
 -10.5805  -97.7762 2
 -10.1036  -97.5717 2
  -9.7537  -97.3139 2
  -9.4877  -97.0903 2
  -9.3695  -96.6437 2
  -9.3315  -95.9048 2
  -9.4179  -95.2044 2
  -9.6774  -94.6089 2
 -10.0243  -94.0656 2
 -10.3164  -93.3295 2
 -10.4586  -92.6507 2
 -10.4443  -92.1071 2
 -10.3325  -91.2933 2
 -10.1650  -90.3786 2
  -9.8905  -89.3171 2
  -9.5808  -88.5199 2
  -9.1894  -87.6239 2
  -8.7480  -86.7369 2
  -8.2916  -86.0899 2
  -7.7913  -85.5102 2
  -7.3241  -84.9982 2
  -7.0233  -84.6177 2
  -6.6952  -84.1030 2
  -6.4044  -83.5279 2
  -6.2105  -82.9990 2
  -5.8648  -82.1920 2
  -5.3934  -81.4836 2
  -5.0251  -80.7207 2
  -4.6929  -80.1544 2
  -4.4470  -79.6143 2
  -4.2234  -79.0943 2
  -3.9989  -78.5466 2
  -3.7516  -77.8271 2
  -3.6094  -77.3613 2
  -3.3491  -76.8691 2
  -2.9987  -76.4321 2
  -2.7323  -76.1762 2
  -2.3881  -75.8014 2
  -1.9953  -75.4015 2
  -1.6115  -75.0481 2
  -1.1186  -74.5811 2
  -0.7643  -74.2110 2
  -0.3998  -73.8190 2
  -0.0380  -73.2284 2
   0.2274  -72.6246 2
   0.4138  -72.0581 2
   0.5355  -71.4777 2
   0.6279  -71.0768 2
   0.7637  -70.7168 2
   0.9161  -70.1789 2
   1.0954  -69.6045 2
   1.2789  -69.2198 2
   1.3329  -68.6822 2
   1.0018  -68.1071 2
   0.7616  -67.2852 2
   0.7030  -66.3199 2
   0.7696  -65.4742 2
   0.9075  -64.8666 2
   1.0581  -64.5970 2
   1.2598  -64.2753 2
   1.5594  -63.9357 2
   1.9198  -63.4993 2
   2.3257  -63.0798 2
   2.7366  -62.7433 2
   3.0390  -62.5336 2
   3.2578  -62.3863 2
   3.3748  -62.1312 2
   3.3880  -61.8357 2
   3.4099  -61.4780 2
   3.4135  -60.8412 2
   3.3652  -60.1785 2
   3.0837  -59.6657 2
   3.0254  -59.2244 2
   3.1441  -58.9814 2
   3.2948  -58.6504 2
   3.0351  -58.0478 2
   2.8076  -57.8121 2
   2.4069  -57.5371 2
   2.0104  -57.3320 2
   1.7606  -57.2151 2
   1.4924  -57.1030 2
   1.2736  -57.0060 2
   1.0440  -56.9233 2
   0.7958  -56.7788 2
   0.4680  -56.5573 2
   0.2508  -56.4173 2
  -0.0031  -56.2067 2
  -0.3188  -55.8287 2
  -0.5745  -55.2323 2
  -0.6037  -54.7732 2
  -0.5813  -54.3915 2
  -0.7038  -53.7198 2
  -0.9389  -53.1373 2
  -1.1172  -52.8625 2
  -1.2760  -52.7016 2
  -1.4092  -52.9555 2
  -1.6262  -53.1403 2
  -1.8051  -53.2953 2
  -1.9730  -53.4057 2
  -2.1537  -53.4876 2
  -2.3689  -53.5962 2
  -2.5159  -53.6722 2
  -2.6572  -53.7358 2
  -2.8755  -53.8273 2
  -3.0422  -53.8905 2
  -3.1854  -53.9508 2
  -3.3094  -54.0079 2
  -3.4447  -54.0768 2
  -3.6084  -54.1898 2
  -3.8571  -54.3521 2
  -4.0854  -54.5091 2
  -4.3560  -54.7048 2
  -4.5116  -54.7886 2
  -4.6947  -54.8823 2
  -4.9491  -54.9899 2
  -5.1705  -55.0530 2
  99.0000   99.0000 3
9999 9999,GPML,nolabel,none,black,byPlateId,1,0
 108  100.0   -inf UN   0   0   0     0
 -73.1476  -72.8755 3
 -72.7077  -72.3581 2
 -72.3039  -71.6524 2
 -71.8747  -71.2552 2
 -71.4401  -70.8147 2
 -70.9794  -70.2448 2
 -70.5188  -69.8643 2
 -69.9963  -69.4067 2
 -69.3604  -69.3639 2
 -68.7005  -69.5015 2
 -68.0561  -69.6079 2
 -67.5752  -69.7409 2
 -67.1186  -69.7435 2
 -66.4416  -69.1707 2
 -65.9064  -68.7040 2
 -65.3209  -68.4231 2
 -64.2607  -68.6275 2
 -63.4938  -68.6309 2
 -62.9978  -68.4952 2
 -62.4561  -68.3367 2
 -61.8405  -68.2446 2
 -61.0098  -67.8267 2
 -60.5121  -67.0172 2
 -61.0099  -66.0947 2
 -61.7652  -65.5059 2
 -62.4633  -64.8013 2
 -62.9007  -64.0576 2
 -63.5216  -63.2246 2
 -64.0406  -62.5799 2
 -64.5981  -62.2993 2
