URN,label,PlateID,lat,long,symbol,size,azimuth,start,end,line_color,fill
27,Malaysia,616,5.000154,101.9999,dot,1.5,0,999,-999,black,black
28,Cairo,715,32.00013,31.00001,dot,1.5,0,600,-999,black,black
29,East Africa,712,2.000157,32.99997,dot,1.5,0,600,-999,black,black
30,Madagascar,702,-16.99983,46.99993,dot,1.5,0,999,-999,black,black
31,Capetown,701,-31.99981,18.99992,dot,1.5,0,600,-999,black,black
32,Australia,801,-21.99982,133.9998,dot,1.5,0,999,-999,black,black
33,Sydney,801,-31.99981,150.9998,dot,1.5,0,999,-999,black,black
34,Perth,801,-29.99982,115.9998,dot,1.5,0,999,-999,black,black
35,Zealandia,807,-40.99981,171.9998,dot,1.5,0,270,-999,black,black
36,East Antarctica,802,-75.99978,50.99931,dot,1.5,0,999,-999,black,black
37,Dry Valley,802,-75.99978,158.9992,dot,1.5,0,999,-999,black,black
38,West Antarctic Pennisula,803,-69.99978,-64.00035,dot,1.5,0,245,-999,black,black
39,Marie Brydland,804,-73.99978,-122.0004,dot,1.5,0,270,-999,black,black
40,Hawaii,901,21.50014,-155.4998,dot,1.5,0,0,-999,black,black
41,Chicago,101,42.00012,-87.99988,dot,2,0,999,-999,byPlateId,byPlateId
42,Boston,108,42.00012,-70.9999,dot,2,0,600,-999,byPlateId,byPlateId
43,Anchorage,126,61.00011,-149.9998,dot,2,0,145,-999,byPlateId,byPlateId
44,NE Siberia,405,70.0001,155.9999,dot,2,0,999,-999,byPlateId,byPlateId
45,Mexico City,104,19.00014,-98.99989,dot,2,0,999,-999,byPlateId,byPlateId
46,Amazonia,201,-2.99984,-59.99995,dot,2,0,600,-999,byPlateId,byPlateId
47,Rio de Janerio,201,-22.99982,-43,dot,2,0,600,-999,byPlateId,byPlateId
48,Terra del Fuego,291,-52.9998,-71.00009,dot,2,0,600,-999,byPlateId,byPlateId
49,London,315,52.00011,0.000049,dot,2,0,600,-999,byPlateId,byPlateId
50,Paris,305,49.00012,2.000045,dot,2,0,600,-999,byPlateId,byPlateId
51,Rome,307,42.00012,13.00003,dot,2,0,600,-999,byPlateId,byPlateId
52,Turkey,504,38.00013,33.00001,dot,2,0,600,-999,byPlateId,byPlateId
53,Madrid,304,40.00012,-3.999955,dot,2,0,600,-999,byPlateId,byPlateId
54,Oslo,301,60.00011,11.00005,dot,2,0,999,-999,byPlateId,byPlateId
55,Moscow,301,56.00011,38.00002,dot,2,0,999,-999,byPlateId,byPlateId
56,West Siberian Lowlands,401,69.0001,87.99999,dot,2,0,999,-999,byPlateId,byPlateId
57,Siberia,401,62.00011,128.9999,dot,2,0,999,-999,byPlateId,byPlateId
58,New Delhi,501,28.00013,76.99997,dot,2,0,999,-999,byPlateId,byPlateId
59,Sri Lanka,502,7.000151,79.99994,dot,2,0,999,-999,byPlateId,byPlateId
60,Beijing,604,40.00012,115.9999,dot,2,0,999,-999,byPlateId,byPlateId
61,Ordos Basin,604,38.00013,105.9999,dot,2,0,999,-999,byPlateId,byPlateId
62,Central China,611,30.00013,103.9999,dot,2,0,999,-999,byPlateId,byPlateId
63,Shanghai,611,23.00014,112.9999,dot,2,0,999,-999,byPlateId,byPlateId
64,Tibet,613,31.00013,86.99996,dot,2,0,999,-999,byPlateId,byPlateId
65,Tarim Basin,601,39.00012,82.99997,dot,2,0,999,-999,byPlateId,byPlateId
66,Indochina,615,12.00015,104.9999,dot,2,0,999,-999,byPlateId,byPlateId
67,Malaysia,616,3.000154,101.9999,dot,2,0,999,-999,byPlateId,byPlateId
68,Cairo,715,30.00013,31.00001,dot,2,0,600,-999,byPlateId,byPlateId
69,East Africa,712,0.000157,32.99997,dot,2,0,600,-999,byPlateId,byPlateId
70,Madagascar,702,-18.99983,46.99993,dot,2,0,999,-999,byPlateId,byPlateId
